"Nom valide";"Nom vernaculaire";"Dernière obs.";"Statut*";
"Carduelis carduelis (Linnaeus, 1758)";"Chardonneret élégant";"2020";"P";
"Pyrrhula pyrrhula (Linnaeus, 1758)";"Bouvreuil pivoine";"2019";"P";
"Coccothraustes coccothraustes (Linnaeus, 1758)";"Grosbec casse-noyaux";"2018";"P";
"Emberiza schoeniclus (Linnaeus, 1758)";"Bruant des roseaux";"2020";"P";
"Larus michahellis Naumann, 1840";"Goéland leucophée";"2020";"P";
"Delichon urbicum (Linnaeus, 1758)";"Hirondelle de fenêtre";"2020";"P";
"Regulus ignicapilla (Temminck, 1820)";"Roitelet à triple bandeau";"2020";"P";
"Chroicocephalus ridibundus (Linnaeus, 1766)";"Mouette rieuse";"2021";"P";
"Cyanistes caeruleus (Linnaeus, 1758)";"Mésange bleue";"2021";"P";
"Lophophanes cristatus (Linnaeus, 1758)";"Mésange huppée";"2020";"P";
"Periparus ater (Linnaeus, 1758)";"Mésange noire";"2012";"P";
"Poecile palustris (Linnaeus, 1758)";"Mésange nonnette";"2020";"P";
"Ichthyaetus melanocephalus (Temminck, 1820)";"Mouette mélanocéphale";"2020";"P";
"Nymphicus hollandicus (Kerr, 1792)";"Calopsitte élégante";"2020";"undefined";
"Acanthis flammea cabaret (Muller, 1776)";"Sizerin cabaret";"2012";"P";
"Spinus spinus (Linnaeus, 1758)";"Tarin des aulnes";"2020";"P";
